,fips,stateabb,sedacountyname,subject,grade,year,variable,gcs_value,student_category,clean_student_category
902,6,CA,Fresno County,mth,6,2012,gcs_mn_mfg,-0.1625748178858152,mfg,Male-Female Gap
904,6,CA,Fresno County,mth,6,2013,gcs_mn_mfg,0.0059985946623034,mfg,Male-Female Gap
906,6,CA,Fresno County,mth,6,2015,gcs_mn_mfg,-0.3563704951241499,mfg,Male-Female Gap
908,6,CA,Fresno County,mth,6,2016,gcs_mn_mfg,-0.3755624171356896,mfg,Male-Female Gap
910,6,CA,Fresno County,mth,6,2017,gcs_mn_mfg,-0.3389459126548416,mfg,Male-Female Gap
912,6,CA,Fresno County,mth,6,2018,gcs_mn_mfg,-0.4544838142305582,mfg,Male-Female Gap
919,6,CA,Fresno County,mth,7,2015,gcs_mn_mfg,-0.1951457385218798,mfg,Male-Female Gap
921,6,CA,Fresno County,mth,7,2016,gcs_mn_mfg,-0.2859469583919946,mfg,Male-Female Gap
923,6,CA,Fresno County,mth,7,2017,gcs_mn_mfg,-0.3614671586564531,mfg,Male-Female Gap
925,6,CA,Fresno County,mth,7,2018,gcs_mn_mfg,-0.1459462459348791,mfg,Male-Female Gap
932,6,CA,Fresno County,mth,8,2015,gcs_mn_mfg,-0.4283005421781869,mfg,Male-Female Gap
934,6,CA,Fresno County,mth,8,2016,gcs_mn_mfg,-0.4632454053638017,mfg,Male-Female Gap
936,6,CA,Fresno County,mth,8,2017,gcs_mn_mfg,-0.5160804339036904,mfg,Male-Female Gap
938,6,CA,Fresno County,mth,8,2018,gcs_mn_mfg,-0.6548097262171543,mfg,Male-Female Gap
940,6,CA,Glenn County,mth,3,2009,gcs_mn_mfg,0.1299760122845101,mfg,Male-Female Gap
942,6,CA,Glenn County,mth,3,2010,gcs_mn_mfg,0.0372818628924455,mfg,Male-Female Gap
944,6,CA,Glenn County,mth,3,2011,gcs_mn_mfg,-0.3703505496420786,mfg,Male-Female Gap
946,6,CA,Glenn County,mth,3,2012,gcs_mn_mfg,0.0747565404316842,mfg,Male-Female Gap
948,6,CA,Glenn County,mth,3,2013,gcs_mn_mfg,-0.0616935512888929,mfg,Male-Female Gap
950,6,CA,Glenn County,mth,3,2015,gcs_mn_mfg,0.1866258612455639,mfg,Male-Female Gap
952,6,CA,Glenn County,mth,3,2016,gcs_mn_mfg,-0.5676533076080027,mfg,Male-Female Gap
954,6,CA,Glenn County,mth,3,2017,gcs_mn_mfg,0.2147608004842944,mfg,Male-Female Gap
956,6,CA,Glenn County,mth,3,2018,gcs_mn_mfg,0.126269811357434,mfg,Male-Female Gap
958,6,CA,Glenn County,mth,4,2009,gcs_mn_mfg,-0.6602280460932359,mfg,Male-Female Gap
960,6,CA,Glenn County,mth,4,2010,gcs_mn_mfg,0.2018409756668435,mfg,Male-Female Gap
962,6,CA,Glenn County,mth,4,2011,gcs_mn_mfg,-0.9915378717786112,mfg,Male-Female Gap
964,6,CA,Glenn County,mth,4,2012,gcs_mn_mfg,-0.3901589741195203,mfg,Male-Female Gap
966,6,CA,Glenn County,mth,4,2013,gcs_mn_mfg,-0.3266766159000969,mfg,Male-Female Gap
968,6,CA,Glenn County,mth,4,2015,gcs_mn_mfg,-0.4204420996789646,mfg,Male-Female Gap
970,6,CA,Glenn County,mth,4,2016,gcs_mn_mfg,0.0138948836967634,mfg,Male-Female Gap
972,6,CA,Glenn County,mth,4,2017,gcs_mn_mfg,-0.0984311879218649,mfg,Male-Female Gap
974,6,CA,Glenn County,mth,4,2018,gcs_mn_mfg,0.4371738349766682,mfg,Male-Female Gap
976,6,CA,Glenn County,mth,5,2009,gcs_mn_mfg,0.0039989479865779,mfg,Male-Female Gap
978,6,CA,Glenn County,mth,5,2010,gcs_mn_mfg,-0.6176400898623248,mfg,Male-Female Gap
980,6,CA,Glenn County,mth,5,2011,gcs_mn_mfg,-0.2263751871393972,mfg,Male-Female Gap
982,6,CA,Glenn County,mth,5,2012,gcs_mn_mfg,-0.5034258503155596,mfg,Male-Female Gap
984,6,CA,Glenn County,mth,5,2013,gcs_mn_mfg,-0.1701077964889576,mfg,Male-Female Gap
986,6,CA,Glenn County,mth,5,2015,gcs_mn_mfg,-0.0704033485693436,mfg,Male-Female Gap
988,6,CA,Glenn County,mth,5,2016,gcs_mn_mfg,-0.0845233044035093,mfg,Male-Female Gap
990,6,CA,Glenn County,mth,5,2017,gcs_mn_mfg,0.0949601635616063,mfg,Male-Female Gap
992,6,CA,Glenn County,mth,5,2018,gcs_mn_mfg,0.1100572065354135,mfg,Male-Female Gap
994,6,CA,Glenn County,mth,6,2009,gcs_mn_mfg,0.1385149794424201,mfg,Male-Female Gap
996,6,CA,Glenn County,mth,6,2010,gcs_mn_mfg,-0.0917557520592914,mfg,Male-Female Gap
998,6,CA,Glenn County,mth,6,2011,gcs_mn_mfg,-0.8706445282796249,mfg,Male-Female Gap
1000,6,CA,Glenn County,mth,6,2012,gcs_mn_mfg,-0.0692339097740542,mfg,Male-Female Gap
1002,6,CA,Glenn County,mth,6,2013,gcs_mn_mfg,-0.3644228791383535,mfg,Male-Female Gap
1004,6,CA,Glenn County,mth,6,2015,gcs_mn_mfg,-0.2786969621068388,mfg,Male-Female Gap
1006,6,CA,Glenn County,mth,6,2016,gcs_mn_mfg,,mfg,Male-Female Gap
1007,6,CA,Glenn County,mth,6,2017,gcs_mn_mfg,-0.7888957693976762,mfg,Male-Female Gap
1009,6,CA,Glenn County,mth,6,2018,gcs_mn_mfg,-0.3360747807192947,mfg,Male-Female Gap
1016,6,CA,Glenn County,mth,7,2015,gcs_mn_mfg,-0.4937996090457201,mfg,Male-Female Gap
1018,6,CA,Glenn County,mth,7,2016,gcs_mn_mfg,0.4030293543936075,mfg,Male-Female Gap
1020,6,CA,Glenn County,mth,7,2018,gcs_mn_mfg,-0.1177655418849591,mfg,Male-Female Gap
1027,6,CA,Glenn County,mth,8,2015,gcs_mn_mfg,-0.8841049861887758,mfg,Male-Female Gap
1029,6,CA,Glenn County,mth,8,2016,gcs_mn_mfg,,mfg,Male-Female Gap
1030,6,CA,Glenn County,mth,8,2017,gcs_mn_mfg,-0.2771056771549028,mfg,Male-Female Gap
1032,6,CA,Glenn County,mth,8,2018,gcs_mn_mfg,,mfg,Male-Female Gap
1033,6,CA,Humboldt County,mth,3,2009,gcs_mn_mfg,0.3293808634728382,mfg,Male-Female Gap
1035,6,CA,Humboldt County,mth,3,2010,gcs_mn_mfg,0.6644771944951506,mfg,Male-Female Gap
1037,6,CA,Humboldt County,mth,3,2011,gcs_mn_mfg,0.2647126897684534,mfg,Male-Female Gap
1039,6,CA,Humboldt County,mth,3,2012,gcs_mn_mfg,0.128519254876719,mfg,Male-Female Gap
1041,6,CA,Humboldt County,mth,3,2013,gcs_mn_mfg,0.0259470026162155,mfg,Male-Female Gap
1043,6,CA,Humboldt County,mth,3,2015,gcs_mn_mfg,0.1155686076260467,mfg,Male-Female Gap
1045,6,CA,Humboldt County,mth,3,2016,gcs_mn_mfg,-0.1332296875820106,mfg,Male-Female Gap
1047,6,CA,Humboldt County,mth,3,2017,gcs_mn_mfg,0.2315873071434975,mfg,Male-Female Gap
1049,6,CA,Humboldt County,mth,3,2018,gcs_mn_mfg,0.2929311130153469,mfg,Male-Female Gap
1051,6,CA,Humboldt County,mth,4,2009,gcs_mn_mfg,0.029774407054272,mfg,Male-Female Gap
1053,6,CA,Humboldt County,mth,4,2010,gcs_mn_mfg,0.1325813434037475,mfg,Male-Female Gap
1055,6,CA,Humboldt County,mth,4,2011,gcs_mn_mfg,0.2111471618667011,mfg,Male-Female Gap
1057,6,CA,Humboldt County,mth,4,2012,gcs_mn_mfg,0.1387682948247967,mfg,Male-Female Gap
1059,6,CA,Humboldt County,mth,4,2013,gcs_mn_mfg,-0.1376420643726361,mfg,Male-Female Gap
1061,6,CA,Humboldt County,mth,4,2015,gcs_mn_mfg,-0.0610905393771112,mfg,Male-Female Gap
1063,6,CA,Humboldt County,mth,4,2016,gcs_mn_mfg,0.249619722017082,mfg,Male-Female Gap
1065,6,CA,Humboldt County,mth,4,2017,gcs_mn_mfg,-0.2550667946571564,mfg,Male-Female Gap
1067,6,CA,Humboldt County,mth,4,2018,gcs_mn_mfg,0.5601632968007678,mfg,Male-Female Gap
1069,6,CA,Humboldt County,mth,5,2009,gcs_mn_mfg,0.182856897241113,mfg,Male-Female Gap
1071,6,CA,Humboldt County,mth,5,2010,gcs_mn_mfg,-0.1227022157073506,mfg,Male-Female Gap
1073,6,CA,Humboldt County,mth,5,2011,gcs_mn_mfg,0.0631511879267268,mfg,Male-Female Gap
1075,6,CA,Humboldt County,mth,5,2012,gcs_mn_mfg,0.1825431047773042,mfg,Male-Female Gap
1077,6,CA,Humboldt County,mth,5,2013,gcs_mn_mfg,0.3664133773511954,mfg,Male-Female Gap
1079,6,CA,Humboldt County,mth,5,2015,gcs_mn_mfg,-0.2878456951808163,mfg,Male-Female Gap
1081,6,CA,Humboldt County,mth,5,2016,gcs_mn_mfg,-0.085591777476387,mfg,Male-Female Gap
1083,6,CA,Humboldt County,mth,5,2017,gcs_mn_mfg,0.1603972408154176,mfg,Male-Female Gap
1085,6,CA,Humboldt County,mth,5,2018,gcs_mn_mfg,-0.2597812016767018,mfg,Male-Female Gap
1087,6,CA,Humboldt County,mth,6,2009,gcs_mn_mfg,0.0487678639979506,mfg,Male-Female Gap
1089,6,CA,Humboldt County,mth,6,2010,gcs_mn_mfg,0.0223087094626806,mfg,Male-Female Gap
1091,6,CA,Humboldt County,mth,6,2011,gcs_mn_mfg,-0.2677266637152656,mfg,Male-Female Gap
1093,6,CA,Humboldt County,mth,6,2012,gcs_mn_mfg,0.2109056409219086,mfg,Male-Female Gap
1095,6,CA,Humboldt County,mth,6,2013,gcs_mn_mfg,0.3238269499097549,mfg,Male-Female Gap
1097,6,CA,Humboldt County,mth,6,2015,gcs_mn_mfg,-0.2860873233270335,mfg,Male-Female Gap
1099,6,CA,Humboldt County,mth,6,2016,gcs_mn_mfg,-0.4963141335695493,mfg,Male-Female Gap
1101,6,CA,Humboldt County,mth,6,2017,gcs_mn_mfg,-0.1969580500255031,mfg,Male-Female Gap
1103,6,CA,Humboldt County,mth,6,2018,gcs_mn_mfg,0.1025997159687279,mfg,Male-Female Gap
1110,6,CA,Humboldt County,mth,7,2015,gcs_mn_mfg,-0.5248466013128726,mfg,Male-Female Gap
1112,6,CA,Humboldt County,mth,7,2016,gcs_mn_mfg,-0.0346694978756279,mfg,Male-Female Gap
1114,6,CA,Humboldt County,mth,7,2017,gcs_mn_mfg,-0.3696031644235335,mfg,Male-Female Gap
1116,6,CA,Humboldt County,mth,7,2018,gcs_mn_mfg,-0.0701870532957291,mfg,Male-Female Gap
1123,6,CA,Humboldt County,mth,8,2015,gcs_mn_mfg,-0.1911822227849814,mfg,Male-Female Gap
1125,6,CA,Humboldt County,mth,8,2016,gcs_mn_mfg,,mfg,Male-Female Gap
1127,6,CA,Humboldt County,mth,8,2017,gcs_mn_mfg,-0.1740477312082274,mfg,Male-Female Gap
1129,6,CA,Humboldt County,mth,8,2018,gcs_mn_mfg,-0.5522062417986914,mfg,Male-Female Gap
1131,6,CA,Imperial County,mth,3,2009,gcs_mn_mfg,0.2051405955574229,mfg,Male-Female Gap
1133,6,CA,Imperial County,mth,3,2010,gcs_mn_mfg,-0.0868741409525896,mfg,Male-Female Gap
1135,6,CA,Imperial County,mth,3,2011,gcs_mn_mfg,0.0530012941123361,mfg,Male-Female Gap
1137,6,CA,Imperial County,mth,3,2012,gcs_mn_mfg,0.1208225198113531,mfg,Male-Female Gap
1139,6,CA,Imperial County,mth,3,2013,gcs_mn_mfg,0.2141861499338454,mfg,Male-Female Gap
1141,6,CA,Imperial County,mth,3,2015,gcs_mn_mfg,0.0014291948424482,mfg,Male-Female Gap
1143,6,CA,Imperial County,mth,3,2016,gcs_mn_mfg,-0.0034364108248872,mfg,Male-Female Gap
1145,6,CA,Imperial County,mth,3,2017,gcs_mn_mfg,0.0386350774628875,mfg,Male-Female Gap
1147,6,CA,Imperial County,mth,3,2018,gcs_mn_mfg,0.1905458203497613,mfg,Male-Female Gap
1149,6,CA,Imperial County,mth,4,2009,gcs_mn_mfg,0.0019094697615976,mfg,Male-Female Gap
1151,6,CA,Imperial County,mth,4,2010,gcs_mn_mfg,-0.0962181473470085,mfg,Male-Female Gap
1153,6,CA,Imperial County,mth,4,2011,gcs_mn_mfg,-0.2291704683543794,mfg,Male-Female Gap
1155,6,CA,Imperial County,mth,4,2012,gcs_mn_mfg,0.0237822745104019,mfg,Male-Female Gap
1157,6,CA,Imperial County,mth,4,2013,gcs_mn_mfg,0.1248608811137163,mfg,Male-Female Gap
1159,6,CA,Imperial County,mth,4,2015,gcs_mn_mfg,0.0806381445594234,mfg,Male-Female Gap
1161,6,CA,Imperial County,mth,4,2016,gcs_mn_mfg,0.1734029862690675,mfg,Male-Female Gap
1163,6,CA,Imperial County,mth,4,2017,gcs_mn_mfg,0.2140890841269761,mfg,Male-Female Gap
1165,6,CA,Imperial County,mth,4,2018,gcs_mn_mfg,0.1916317753453742,mfg,Male-Female Gap
1167,6,CA,Imperial County,mth,5,2009,gcs_mn_mfg,-0.2141365414633525,mfg,Male-Female Gap
1169,6,CA,Imperial County,mth,5,2010,gcs_mn_mfg,-0.2532578346714586,mfg,Male-Female Gap
1171,6,CA,Imperial County,mth,5,2011,gcs_mn_mfg,-0.1282129959013749,mfg,Male-Female Gap
1173,6,CA,Imperial County,mth,5,2012,gcs_mn_mfg,-0.2198647369086939,mfg,Male-Female Gap
1175,6,CA,Imperial County,mth,5,2013,gcs_mn_mfg,0.0151179623868819,mfg,Male-Female Gap
1177,6,CA,Imperial County,mth,5,2015,gcs_mn_mfg,-0.0150096743980405,mfg,Male-Female Gap
1179,6,CA,Imperial County,mth,5,2016,gcs_mn_mfg,0.1249928535326578,mfg,Male-Female Gap
1181,6,CA,Imperial County,mth,5,2017,gcs_mn_mfg,0.230348690613296,mfg,Male-Female Gap
1183,6,CA,Imperial County,mth,5,2018,gcs_mn_mfg,-0.1742136650038535,mfg,Male-Female Gap
1185,6,CA,Imperial County,mth,6,2009,gcs_mn_mfg,-0.012315519764988,mfg,Male-Female Gap
1187,6,CA,Imperial County,mth,6,2010,gcs_mn_mfg,-0.1789294027657398,mfg,Male-Female Gap
1189,6,CA,Imperial County,mth,6,2011,gcs_mn_mfg,-0.0882809937970886,mfg,Male-Female Gap
1191,6,CA,Imperial County,mth,6,2012,gcs_mn_mfg,-0.1803300418496285,mfg,Male-Female Gap
1193,6,CA,Imperial County,mth,6,2013,gcs_mn_mfg,-0.1114848910988847,mfg,Male-Female Gap
1195,6,CA,Imperial County,mth,6,2015,gcs_mn_mfg,-0.2136677795068473,mfg,Male-Female Gap
1197,6,CA,Imperial County,mth,6,2016,gcs_mn_mfg,-0.0175936578401555,mfg,Male-Female Gap
1199,6,CA,Imperial County,mth,6,2017,gcs_mn_mfg,-0.1856576439054102,mfg,Male-Female Gap
1201,6,CA,Imperial County,mth,6,2018,gcs_mn_mfg,-0.2667271228340028,mfg,Male-Female Gap
1208,6,CA,Imperial County,mth,7,2015,gcs_mn_mfg,-0.2886942895240106,mfg,Male-Female Gap
1210,6,CA,Imperial County,mth,7,2016,gcs_mn_mfg,0.0800673362955051,mfg,Male-Female Gap
1212,6,CA,Imperial County,mth,7,2017,gcs_mn_mfg,-0.0743116672722037,mfg,Male-Female Gap
1213,6,CA,Imperial County,mth,7,2018,gcs_mn_mfg,0.0610897684313162,mfg,Male-Female Gap
1220,6,CA,Imperial County,mth,8,2015,gcs_mn_mfg,-0.4631368365704884,mfg,Male-Female Gap
1222,6,CA,Imperial County,mth,8,2016,gcs_mn_mfg,-0.4482360865972236,mfg,Male-Female Gap
1224,6,CA,Imperial County,mth,8,2017,gcs_mn_mfg,0.0463416335951849,mfg,Male-Female Gap
1226,6,CA,Imperial County,mth,8,2018,gcs_mn_mfg,-0.589285899630842,mfg,Male-Female Gap
1228,6,CA,Inyo County,mth,3,2009,gcs_mn_mfg,0.1561324541709269,mfg,Male-Female Gap
1230,6,CA,Inyo County,mth,3,2010,gcs_mn_mfg,0.6761150593660961,mfg,Male-Female Gap
1232,6,CA,Inyo County,mth,3,2011,gcs_mn_mfg,-0.4166225222613072,mfg,Male-Female Gap
1234,6,CA,Inyo County,mth,3,2012,gcs_mn_mfg,0.5399579650801741,mfg,Male-Female Gap
1236,6,CA,Inyo County,mth,3,2013,gcs_mn_mfg,0.9327640406886176,mfg,Male-Female Gap
1238,6,CA,Inyo County,mth,3,2015,gcs_mn_mfg,0.3413924209430518,mfg,Male-Female Gap
1240,6,CA,Inyo County,mth,3,2017,gcs_mn_mfg,-0.1850196854989203,mfg,Male-Female Gap
1242,6,CA,Inyo County,mth,3,2018,gcs_mn_mfg,-0.196548831993107,mfg,Male-Female Gap
1243,6,CA,Inyo County,mth,4,2009,gcs_mn_mfg,0.2563541954597439,mfg,Male-Female Gap
1245,6,CA,Inyo County,mth,4,2010,gcs_mn_mfg,-0.2124156202209029,mfg,Male-Female Gap
1247,6,CA,Inyo County,mth,4,2011,gcs_mn_mfg,0.3589049146925609,mfg,Male-Female Gap
1249,6,CA,Inyo County,mth,4,2012,gcs_mn_mfg,-0.3840184428746686,mfg,Male-Female Gap
1251,6,CA,Inyo County,mth,4,2013,gcs_mn_mfg,-0.253882775400086,mfg,Male-Female Gap
1253,6,CA,Inyo County,mth,4,2015,gcs_mn_mfg,-0.2430210218112029,mfg,Male-Female Gap
1255,6,CA,Inyo County,mth,4,2016,gcs_mn_mfg,1.125464006257831,mfg,Male-Female Gap
1257,6,CA,Inyo County,mth,4,2018,gcs_mn_mfg,0.5918668637206299,mfg,Male-Female Gap
1259,6,CA,Inyo County,mth,5,2009,gcs_mn_mfg,0.6046924530995006,mfg,Male-Female Gap
1261,6,CA,Inyo County,mth,5,2010,gcs_mn_mfg,-0.0689001782339089,mfg,Male-Female Gap
1263,6,CA,Inyo County,mth,5,2011,gcs_mn_mfg,0.0122101773939811,mfg,Male-Female Gap
1265,6,CA,Inyo County,mth,5,2012,gcs_mn_mfg,0.2067787272490246,mfg,Male-Female Gap
1267,6,CA,Inyo County,mth,5,2013,gcs_mn_mfg,0.0012643694240381,mfg,Male-Female Gap
1269,6,CA,Inyo County,mth,5,2015,gcs_mn_mfg,1.28735168496524,mfg,Male-Female Gap
1271,6,CA,Inyo County,mth,5,2016,gcs_mn_mfg,,mfg,Male-Female Gap
1273,6,CA,Inyo County,mth,5,2017,gcs_mn_mfg,1.126846627586392,mfg,Male-Female Gap
1275,6,CA,Inyo County,mth,5,2018,gcs_mn_mfg,,mfg,Male-Female Gap
1277,6,CA,Inyo County,mth,6,2009,gcs_mn_mfg,-1.27284681651834,mfg,Male-Female Gap
1279,6,CA,Inyo County,mth,6,2010,gcs_mn_mfg,0.4250399529622558,mfg,Male-Female Gap
1281,6,CA,Inyo County,mth,6,2011,gcs_mn_mfg,0.1387543002373331,mfg,Male-Female Gap
1283,6,CA,Inyo County,mth,6,2012,gcs_mn_mfg,0.0364891237428291,mfg,Male-Female Gap
1285,6,CA,Inyo County,mth,6,2013,gcs_mn_mfg,-0.3530579760468737,mfg,Male-Female Gap
1287,6,CA,Inyo County,mth,6,2015,gcs_mn_mfg,-0.5470783312744256,mfg,Male-Female Gap
1289,6,CA,Inyo County,mth,6,2017,gcs_mn_mfg,-0.1127816253983255,mfg,Male-Female Gap
1291,6,CA,Inyo County,mth,6,2018,gcs_mn_mfg,,mfg,Male-Female Gap
1299,6,CA,Inyo County,mth,7,2017,gcs_mn_mfg,0.8542631306004151,mfg,Male-Female Gap
1301,6,CA,Inyo County,mth,7,2018,gcs_mn_mfg,0.592707715930698,mfg,Male-Female Gap
1308,6,CA,Inyo County,mth,8,2015,gcs_mn_mfg,-0.6434810033401742,mfg,Male-Female Gap
1310,6,CA,Inyo County,mth,8,2018,gcs_mn_mfg,,mfg,Male-Female Gap
1312,6,CA,Kern County,mth,3,2009,gcs_mn_mfg,0.147779904316128,mfg,Male-Female Gap
1314,6,CA,Kern County,mth,3,2010,gcs_mn_mfg,0.0608580477672165,mfg,Male-Female Gap
1316,6,CA,Kern County,mth,3,2011,gcs_mn_mfg,0.0454512185622499,mfg,Male-Female Gap
1318,6,CA,Kern County,mth,3,2012,gcs_mn_mfg,0.160312440462937,mfg,Male-Female Gap
1320,6,CA,Kern County,mth,3,2013,gcs_mn_mfg,0.015888992873393,mfg,Male-Female Gap
1322,6,CA,Kern County,mth,3,2015,gcs_mn_mfg,0.0510974268547553,mfg,Male-Female Gap
1324,6,CA,Kern County,mth,3,2016,gcs_mn_mfg,-0.0250309110925763,mfg,Male-Female Gap
1326,6,CA,Kern County,mth,3,2017,gcs_mn_mfg,0.1141406423459472,mfg,Male-Female Gap
1328,6,CA,Kern County,mth,3,2018,gcs_mn_mfg,-0.0079672027374044,mfg,Male-Female Gap
1330,6,CA,Kern County,mth,4,2009,gcs_mn_mfg,-0.0343215494153739,mfg,Male-Female Gap
1332,6,CA,Kern County,mth,4,2010,gcs_mn_mfg,-0.1179169507490866,mfg,Male-Female Gap
1334,6,CA,Kern County,mth,4,2011,gcs_mn_mfg,-0.1671981215680563,mfg,Male-Female Gap
1336,6,CA,Kern County,mth,4,2012,gcs_mn_mfg,-0.2283984076462131,mfg,Male-Female Gap
1338,6,CA,Kern County,mth,4,2013,gcs_mn_mfg,-0.1550560033955871,mfg,Male-Female Gap
1340,6,CA,Kern County,mth,4,2015,gcs_mn_mfg,-0.1313201442048229,mfg,Male-Female Gap
1342,6,CA,Kern County,mth,4,2016,gcs_mn_mfg,0.0213101986025862,mfg,Male-Female Gap
1344,6,CA,Kern County,mth,4,2017,gcs_mn_mfg,0.0825670244358248,mfg,Male-Female Gap
1346,6,CA,Kern County,mth,4,2018,gcs_mn_mfg,0.1040781672150568,mfg,Male-Female Gap
1348,6,CA,Kern County,mth,5,2009,gcs_mn_mfg,-0.2341298092039408,mfg,Male-Female Gap
1350,6,CA,Kern County,mth,5,2010,gcs_mn_mfg,-0.2005661865964851,mfg,Male-Female Gap
1352,6,CA,Kern County,mth,5,2011,gcs_mn_mfg,-0.3309400181990695,mfg,Male-Female Gap
1354,6,CA,Kern County,mth,5,2012,gcs_mn_mfg,-0.2232592970045716,mfg,Male-Female Gap
1356,6,CA,Kern County,mth,5,2013,gcs_mn_mfg,-0.2449397521942386,mfg,Male-Female Gap
1358,6,CA,Kern County,mth,5,2015,gcs_mn_mfg,-0.1344673537434191,mfg,Male-Female Gap
1360,6,CA,Kern County,mth,5,2016,gcs_mn_mfg,-0.1346104653772654,mfg,Male-Female Gap
1362,6,CA,Kern County,mth,5,2017,gcs_mn_mfg,-0.0179662201308094,mfg,Male-Female Gap
1364,6,CA,Kern County,mth,5,2018,gcs_mn_mfg,-0.0559830036131585,mfg,Male-Female Gap
1366,6,CA,Kern County,mth,6,2009,gcs_mn_mfg,-0.1195487230172813,mfg,Male-Female Gap
1368,6,CA,Kern County,mth,6,2010,gcs_mn_mfg,-0.094203979330782,mfg,Male-Female Gap
1370,6,CA,Kern County,mth,6,2011,gcs_mn_mfg,-0.0952752123710657,mfg,Male-Female Gap
1372,6,CA,Kern County,mth,6,2012,gcs_mn_mfg,-0.1510849824945138,mfg,Male-Female Gap
1374,6,CA,Kern County,mth,6,2013,gcs_mn_mfg,-0.1347732199962973,mfg,Male-Female Gap
1376,6,CA,Kern County,mth,6,2015,gcs_mn_mfg,-0.3287062627031937,mfg,Male-Female Gap
1378,6,CA,Kern County,mth,6,2016,gcs_mn_mfg,-0.3011732315164097,mfg,Male-Female Gap
1380,6,CA,Kern County,mth,6,2017,gcs_mn_mfg,-0.4770744599247981,mfg,Male-Female Gap
1382,6,CA,Kern County,mth,6,2018,gcs_mn_mfg,-0.2240701826950915,mfg,Male-Female Gap
1389,6,CA,Kern County,mth,7,2015,gcs_mn_mfg,-0.4758434032719493,mfg,Male-Female Gap
1391,6,CA,Kern County,mth,7,2016,gcs_mn_mfg,-0.3362996950225564,mfg,Male-Female Gap
1393,6,CA,Kern County,mth,7,2017,gcs_mn_mfg,-0.2267852393781835,mfg,Male-Female Gap
1395,6,CA,Kern County,mth,7,2018,gcs_mn_mfg,-0.3421000582382476,mfg,Male-Female Gap
1402,6,CA,Kern County,mth,8,2015,gcs_mn_mfg,-0.4632760417073667,mfg,Male-Female Gap
1404,6,CA,Kern County,mth,8,2016,gcs_mn_mfg,-0.6889831299473368,mfg,Male-Female Gap
1406,6,CA,Kern County,mth,8,2017,gcs_mn_mfg,-0.5063688357751679,mfg,Male-Female Gap
1408,6,CA,Kern County,mth,8,2018,gcs_mn_mfg,-0.6986025094975133,mfg,Male-Female Gap
1410,6,CA,Kings County,mth,3,2009,gcs_mn_mfg,0.0694632481499757,mfg,Male-Female Gap
1412,6,CA,Kings County,mth,3,2010,gcs_mn_mfg,0.0788218865348038,mfg,Male-Female Gap
1414,6,CA,Kings County,mth,3,2011,gcs_mn_mfg,0.1432341642803453,mfg,Male-Female Gap
1416,6,CA,Kings County,mth,3,2012,gcs_mn_mfg,-0.0147514782057841,mfg,Male-Female Gap
1418,6,CA,Kings County,mth,3,2013,gcs_mn_mfg,-0.1053320915542776,mfg,Male-Female Gap
1420,6,CA,Kings County,mth,3,2015,gcs_mn_mfg,0.0349532608961105,mfg,Male-Female Gap
1422,6,CA,Kings County,mth,3,2016,gcs_mn_mfg,0.1215182485489459,mfg,Male-Female Gap
1424,6,CA,Kings County,mth,3,2017,gcs_mn_mfg,0.0644024257291129,mfg,Male-Female Gap
1426,6,CA,Kings County,mth,3,2018,gcs_mn_mfg,0.1171265415173195,mfg,Male-Female Gap
1428,6,CA,Kings County,mth,4,2009,gcs_mn_mfg,-0.2370081758274274,mfg,Male-Female Gap
1430,6,CA,Kings County,mth,4,2010,gcs_mn_mfg,0.0139074241019215,mfg,Male-Female Gap
1432,6,CA,Kings County,mth,4,2011,gcs_mn_mfg,-0.3508117295423612,mfg,Male-Female Gap
1434,6,CA,Kings County,mth,4,2012,gcs_mn_mfg,-0.0029272919603339,mfg,Male-Female Gap
1436,6,CA,Kings County,mth,4,2013,gcs_mn_mfg,-0.1444580012576973,mfg,Male-Female Gap
1438,6,CA,Kings County,mth,4,2015,gcs_mn_mfg,-0.0290769017397066,mfg,Male-Female Gap
1440,6,CA,Kings County,mth,4,2016,gcs_mn_mfg,0.118483606806783,mfg,Male-Female Gap
1442,6,CA,Kings County,mth,4,2017,gcs_mn_mfg,0.2703381765914092,mfg,Male-Female Gap
1444,6,CA,Kings County,mth,4,2018,gcs_mn_mfg,-0.0694661403737494,mfg,Male-Female Gap
1446,6,CA,Kings County,mth,5,2009,gcs_mn_mfg,-0.2293799733745248,mfg,Male-Female Gap
1448,6,CA,Kings County,mth,5,2010,gcs_mn_mfg,-0.4389143419464916,mfg,Male-Female Gap
1450,6,CA,Kings County,mth,5,2011,gcs_mn_mfg,-0.2453908918289011,mfg,Male-Female Gap
1452,6,CA,Kings County,mth,5,2012,gcs_mn_mfg,-0.3719666707735851,mfg,Male-Female Gap
1454,6,CA,Kings County,mth,5,2013,gcs_mn_mfg,0.086920058305163,mfg,Male-Female Gap
1456,6,CA,Kings County,mth,5,2015,gcs_mn_mfg,-0.083860917755302,mfg,Male-Female Gap
1458,6,CA,Kings County,mth,5,2016,gcs_mn_mfg,-0.2030178671040966,mfg,Male-Female Gap
1460,6,CA,Kings County,mth,5,2017,gcs_mn_mfg,0.2625592957960101,mfg,Male-Female Gap
1462,6,CA,Kings County,mth,5,2018,gcs_mn_mfg,-0.0280272709306143,mfg,Male-Female Gap
1464,6,CA,Kings County,mth,6,2009,gcs_mn_mfg,0.0658553421076979,mfg,Male-Female Gap
